"State_Name","District_Name","Crop_Year","Season","Crop","Area","Production","Rendimiento"
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Arhar/Tur",51728,4293,0.0829918032786885
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Bajra",2614,3307,1.26511094108646
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Castor seed",30203,1843,0.0610204284342615
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Cotton(lint)",19299,12069,0.625369190113477
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Cowpea(Lobia)",846,150,0.177304964539007
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Dry chillies",4101,10425,2.542062911485
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Groundnut",733960,174682,0.237999346013407
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Horse-gram",1212,645,0.532178217821782
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Jowar",7190,7535,1.04798331015299
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Maize",25447,63465,2.49400715212009
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Mesta",15,117,7.8
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Moong(Green Gram)",785,504,0.64203821656051
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Onion",2757,39563,14.3500181356547
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Other Kharif pulses",3,1,0.333333333333333
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","other oilseeds",50,1007,20.14
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Ragi",1574,2679,1.70203303684879
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Rice",37720,94531,2.50612407211029
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Small millets",1092,714,0.653846153846154
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Soyabean",1656,2676,1.61594202898551
"Andhra Pradesh","ANANTAPUR",2011,"Kharif     ","Urad",32,17,0.53125
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Arhar/Tur",17,1,0.0588235294117647
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Bajra",116,147,1.26724137931034
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Cowpea(Lobia)",15,12,0.8
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Dry chillies",64,83,1.296875
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Gram",68483,38008,0.554999050859337
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Groundnut",19876,32696,1.64499899376132
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Horse-gram",986,577,0.585192697768763
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Jowar",7907,3882,0.490957379537119
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Maize",6208,48168,7.7590206185567
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Moong(Green Gram)",132,79,0.598484848484849
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Onion",208,4259,20.4759615384615
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Ragi",1695,3421,2.01828908554572
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Rice",10948,25542,2.3330288637194
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Safflower",84,63,0.75
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Small millets",10,7,0.7
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Urad",446,313,0.701793721973094
"Andhra Pradesh","ANANTAPUR",2011,"Rabi       ","Wheat",75,100,1.33333333333333
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Arecanut",541,267,0.493530499075786
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Banana",8000,505176,63.147
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Coconut ",895,7165320,8005.94413407821
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Coriander",2399,1327,0.553147144643601
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Potato",18,181,10.0555555555556
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Sugarcane",410,39186,95.5756097560976
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Sunflower",13277,12094,0.910898546358364
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Sweet potato",2,26,13
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Tobacco",140,226,1.61428571428571
"Andhra Pradesh","ANANTAPUR",2011,"Whole Year ","Turmeric",321,2645,8.2398753894081
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Arecanut",558,302,0.541218637992832
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Arhar/Tur",56586,8035,0.141996253490263
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Bajra",2176,1456,0.669117647058823
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Brinjal",451,8211,18.2062084257206
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Castor seed",24154,9179,0.380019872484889
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Coriander",2,1,0.5
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Cotton(lint)",27566,35511,1.28821736922296
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Cowpea(Lobia)",586,36,0.0614334470989761
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Dry chillies",2736,5603,2.04788011695906
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Grapes",238,7606,31.9579831932773
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Groundnut",708708,295531,0.416999666999667
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Horse-gram",848,589,0.694575471698113
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Jowar",7599,6930,0.911962100276352
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Lemon",422,3752,8.89099526066351
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Linseed",7,3,0.428571428571429
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Maize",22039,63516,2.88198194110441
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Mango",6276,57601,9.17797960484385
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Moong(Green Gram)",481,266,0.553014553014553
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Onion",1548,25393,16.4037467700258
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Papaya",447,17197,38.4720357941834
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Pome Granet",1279,17671,13.8162627052385
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Ragi",1589,2336,1.47010698552549
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Rice",22056,58691,2.66099927457381
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Sapota",2106,41876,19.8841405508072
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Small millets",1343,1613,1.20104244229337
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Soyabean",919,1671,1.81828073993471
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Sugarcane",76,6954,91.5
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Sunflower",6121,5197,0.849044273811469
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Tobacco",10,14,1.4
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Tomato",2552,38561,15.1101097178683
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Turmeric",65,728,11.2
"Andhra Pradesh","ANANTAPUR",2012,"Kharif     ","Urad",31,29,0.935483870967742
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Bajra",20,13,0.65
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Brinjal",251,4570,18.207171314741
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Castor seed",232,88,0.379310344827586
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Coriander",2606,1631,0.625863392171911
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Cotton(lint)",77,99,1.28571428571429
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Cowpea(Lobia)",81,74,0.91358024691358
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Dry chillies",70,159,2.27142857142857
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Gram",89676,77301,0.862003211561622
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Groundnut",20987,34419,1.64001524753419
"Andhra Pradesh","ANANTAPUR",2012,"Rabi       ","Horse-gram",1997,1322,0.661992989484226
